页码,评论者昵称,评论星级,评论时间,评论者IP属地,有用数,评论内容
7,温岭阿浪,5星,2023/5/5 21:36,浙江,53,1，滚导不同于其他导演的地方，在于他知道自己拍的是爆米花，他不会故作高深地追求逼格。影片给予观众极大的娱乐性，同时又有恰到好处的情感点缀。愤怒，欢乐，刺激都在这部电影里得到满足。不愧是在漫威dc两头都能吃得开的导演。2，如今流行塑造苦大仇深，让人又爱又恨的反派。而滚导则不玩这套，他的电影里反派就是坏蛋，要坏得彻底、邪恶，让人恨得牙痒，让人看到他挨揍时感到解气！3，许多多主角的影视剧越拍到后面就越容易成为男一号的个人秀，难得本片中，各个角色的魅力都得到了展现，他们不再是2014年那群吊儿郎当的菜鸡，在第三部中每个人的实力都得到了强化，每个人的魅力都得到了展现。4，影片不可避免的会有一些老套情节，但就像多油多糖做出的爆米花才会好吃，适当地用点老套路能更好地为一部爆米花电影提供娱乐性。
7,摸鱼的momo,5星,2023/5/6 18:01,辽宁,80,事实证明我不是讨厌family侠，我是讨厌生硬的family侠，里面的角色如此生动立体，有自己的意志与追求，集体利益和个人利益达到了最大的平衡，这真的不是共产主义的最大可实现程度么，救出高等生物后的小生物片段我简直哭死，我做了很多动物实验，看这实在是破防了。
7,饿霸地煮,2星,2023/5/6 20:18,上海,29,漫威第四阶段的电影拍的都是小学生之间的人际关系，鲜有超过小学生能理解的成人问题。
7,会花光的金子,4星,2023/5/8 18:46,北京,38,还是熟悉的配方，逗嘴、劲歌金曲，顺便拯救宇宙，说实话没什么惊喜，情节上没有任何意外，滚导就是很真诚地给这个系列画了个句号，三部曲质量很稳定，已经算现阶段漫威的遮羞布了，谁能想到这个看似最不靠谱的团队，却一直是漫威宇宙最温暖的存在呢
7,talliscool,4星,2023/5/6 8:07,广东,58,齐心协力之后，当然应该各奔东西
7,鹅向肉游,4星,2023/5/26 20:18,广东,39,从“我不是浣熊”到最后的“火箭浣熊”，火箭完成了自我的构建与认同，；星爵与卡魔拉之间的感情也得到了释然，他们没有相爱是最恰当的结局，人要学会自己游泳；“他是在我们之中唯一不讨厌自己的人”，这句话点出了这一部的核心表达：独立的个体与自我的接纳，而且这么哲学的命题是举重若轻地说出来的，这点我很喜欢。剧情上从解救火箭开始，再到拯救在飞船上的星云三人组，接着是拯救上面的孩子，最后是拯救上面的动物，不断有新的问题需要解决，全程动作戏很多，吐槽笑点也很多，两个半小时全程都不会觉得冗长无聊，除了对火箭身世的回闪剪辑处理得不够流畅以外，只觉得轻松有趣。音乐是一如既往的好听，银河护卫队可以说是一部CD播放器了。
7,sorry打搅,4星,2023/5/13 18:21,上海,30,火箭—银河护卫队里的宫城良田。
7,Kipling,2星,2023/5/9 23:45,四川,54,就这？8.5分？
7,Xxin,5星,2023/5/6 1:01,北京,56,SpecialThanks:AllTheFans!
7,小饭,3星,2023/5/10 0:33,四川,43,（65）我以为多好看呢……
7,为君青丝变白发,5星,2023/5/14 14:13,陕西,55,“火箭，你一直是故事的主角”
7,寒枝雀静,3星,2023/5/9 19:19,上海,16,D＋/可能是MCU一堆低水平剧作里最巧妙的之一。当一个俗套到极点的虚伪野心家形象即将彻底消解掉社会讨论时，主角群却用其自身的组织状态补足了关于乌托邦的讨论（当然仍是浅尝辄止的）。由善良、温柔、愤怒、暴力等优生学引出的概念星丛也在各个翻转的时刻获得了足够丰富的展演，从而让“陷阱”到“面对面碰撞”的转换显得尤为有力——人物间的内在张力反而通过抽象的外在概念被支撑起来。然而除此之外的关键转折还是乏善可陈，而转场逻辑之粗暴也反反复复在高潮时打断情绪的连绵。不过作为系列的终结，又或者作为某个时代终结的想象，对每个人物蕴藏的爱也已足够动人。
7,嘻嘻嘻,2星,2023/5/10 21:24,河北,57,垃圾漫威�好久没看过这么烂的片了
8,实验台,5星,2023/7/29 19:32,广东,38,哭的眼泪倒流。火箭看到笼子里那一群浣熊幼崽，直接掏出了曾经的自己组装的门卡。这么多年他可能会时时想要回去吧，饱尝心碎自我否定，但最后他说他是rocketraccoon。哪怕身在宇宙，在任何星球，只要活着，我们都必然会寻找着真正的自己。
8,宫商角徵羽,5星,2023/5/6 0:36,海南,66,毫不夸张地说，漫威自复联四结束开启MCU第四阶段以来，这部是唯一可以正常看的一部。你很难想象，一只浣熊的演技能把至少往前五部的人类男女爆的连渣都不剩。
8,momo,3星,2023/5/7 23:20,广东,50,三分钟一小煽，五分钟一大煽，真没必要。卡莫拉的结尾设置还挺不落窠臼。
8,囍弗斯,3星,2023/7/9 17:28,辽宁,19,火箭线很好，长镜头还行，其他部分一坨答辩
8,影探,4星,2023/5/3 22:49,山东,31,人依旧逗，歌依旧好听，每个角色都有独立的个性和完整弧光，尤其火箭浣熊，能看哭。完美的系列终章，感谢这帮逗比。家人们谁懂啊，太神奇，我竟然真的听懂了IamGroot，哭……
8,一止,3星,2023/5/7 20:53,江苏,38,反派塑造很一般。莫名其妙。剧情不带脑子看还行。特效也一般。不知道为啥这么高分。打个三分平均一下
8,豆瓣狗管理,1星,2023/5/6 1:07,英国,59,这玩意儿8.6你们是认真的吗，这故事剧情起承转合也太子供向了，拉满爱与家人的美利坚样板戏我感觉也就两星左右。打个一星中和一下评分
8,微阳,4星,2023/5/6 23:57,浙江,50,保护动物人人有责，喜欢这种受伤儿童自己拼凑起来的家庭样子，满满的创伤后遗症式的爱
8,九爷,3星,2023/5/9 9:05,上海,27,故事很普通，就是A救BB救C或者A，反派塑造非常过时，“一切都是为了进化”这一套大概十年前还有点用，现在就真的令人犯困…Rocket的拯救小动物环节有点泪目但感觉挺按头的，整体来说，很无趣
8,冰镇西瓜橘子水,5星,2023/5/7 17:13,云南,44,导演一定是爱惨了每个角色吧没有工具人大家都有自己的理想和目标每个人都找到了属于自己的路卡魔拉和星爵没有为了大团圆硬是凑到一起一直帮助大家的螳螂女也有了自己想做的事火箭的起源更是神来之笔多出点剧集和番外吧还想知道格鲁特的故事
8,托尼·王大拿,4星,2023/5/11 22:38,黑龙江,13,原班人马的各奔东西实乃故事发展至当下的最优解，极为妥帖地描绘了成长的欢愉和痛楚；情绪与技法的过火——包括我通常极为厌恶的那种CG长镜头——是与全片基调高度适配的，因而便更加具备感染力；最出彩的当属美术设计，冈恩在完结作里彻底放开，疯狂释放着黏稠肢体爱好者的能量。
8,基瑞尔,4星,2023/5/5 16:33,四川,26,一时为团队，一世为家人；它不曾再去触碰更大的世界，抑或繁琐堆砌角色更多的问题，而执着于炮制整个系列最让人熟悉的情感寻找与回响。还是会有相当长、繁琐的节奏问题，但点唱金曲的密集出现、讨喜的调性又在感到乏味的过程中一点点把人往回“拉”。<Dogsdaysareover>issoooootouching——你感觉可以停在这里就此别过（真的不想看到某位演员了），也能期待它可以拓展更多。
8,舌在足矣,4星,2023/5/12 10:57,美国,16,难得能在现阶段的MCU看到一部以人物和他们之间的关系为核心的作品，而不是忙于构建多元宇宙世界观、推进整体剧情。本片反派是一个痴迷于用拟人化的动物构建完美无瑕的“理想社会”，对旗下“proprietaryproperty”铁腕控制，依赖可以进行创新的“头脑”但又用完即弃。这怎么看怎么像是JamesGunn经历之前被炒鱿鱼，然后又被重新找来继续拍片，于是直接对迪士尼开炮的结果
8,baichi0038,4星,2023/5/13 13:49,广东,25,天下苦漫威屎片久矣，难得一部认真正经不糊弄讲故事的电影，都忍不住感激涕零了。
8,要丸,4星,2023/5/6 0:19,浙江,45,从地球到反地球，乌托邦永远无法实现，这或许只是一种可悲。但不知造物者为何物的我们却妄想要创造自己的理想国，这肯定是一种可笑。我们在劲歌金曲中踏上太空谢幕之旅，我相信人类谱写出最美丽的乐曲永远都是缺憾。在火箭、大牙、板板、莱拉想要仰望的天空之下，闪耀着的是人类失败而无序的情感，是那份我们称之为“自由”和“个体”的价值。时刻在拌嘴和争吵的银护小队总能在最关键的时刻展现出最惊人的凝聚力，这种不完美的情感才是我们被创造出来的意义。当至高进化大声质问神在何方的时候，其实已经获得了答案：真神从不干涉被创造之物。从一群反英雄小人物组建的团队到现在各自奔天涯的终章，电影的结束才是生命的开端，就像有着败笔的我们在人生路上聚散离合。滚导这是作为造物者在跟银护系列告别，更是在自己人生路上迈向一个新的开始。
8,Lynne.Z,3星,2023/7/10 11:41,北京,25,非常一般，过度煽情，笑点也很低级
8,不行不了不好,3星,2023/5/14 0:14,江苏,19,这已经是最近漫威最佳了吗
8,路易绕,5星,2023/6/18 0:00,北京,36,感谢滚导，这几乎可以说是复联4以来最好看的漫威电影了。所以说最体面的退场完全可以是退休和转行，为什么一定要生离死别呢
8,淫雨,3星,2023/6/18 22:25,浙江,16,最后男主飘在太空里，我同事倒吸一口气，我说他是男主又不会死的，我同事说我当然是在为狗担心呀，我说放心狗也不会死的，超级英雄电影就是这么无聊。
8,带刀夜行的学徒,2星,2023/5/5 2:29,广东,41,一星送给开头的《creep》一星送给结尾的《thedogdaysareover》如果这都能说是2019年以后漫威最佳的话其实可以就地宣布倒闭啦
9,南朝鲜影迷,1星,2023/5/5 16:33,贵州,57,本来以为片荒的有片子看了，看完后，这是个什么玩意儿，吹爆的情怀就这样？
9,多事之秋,5星,2023/5/13 16:45,广东,48,杀我别用动物刀
9,ng,5星,2023/5/3 17:35,上海,80,Creep出来已经哭成sb
9,Q。,3星,2023/5/8 11:04,湖南,26,很久没看爆米花电影，质量下降到这个地步，冗长混乱尴尬疲惫，音乐的分贝甚至让人听感不适，总结就是一个呱噪的游园会。★★★
9,RodyZ,5星,2023/5/20 19:43,北京,38,男女主比以前更好看了诠释了“每个人都有自己的生活每个人都有更好的未来”人与人之间时聚时散才是常态
9,蒜 | BOY A �,4星,2023/5/5 18:06,四川,33,依然沿袭前两部的风格，欢乐逗比，时代金曲，怪诞复古，合格的爆米花电影，重新体验了阔别已久的影院漫威情怀。熟悉的人物，熟悉的音乐，在熟悉中探寻我们的未知，火箭浣熊的人生成长史，也是银护团队的生命史。边缘化的人生，别人眼中的怪咖，生活里的失意者，强者身边的工具人，通过组团重获生命的价值，感受集体的温暖。闯荡江湖之后，勇敢接纳自己的过去，拥抱内心的小孩，是强者的又一次新生。
9,什么玩意儿,5星,2023/5/19 10:57,河南,58,火箭浣熊在拯救自己同胞的那一段，用温柔触碰自己的痛苦，如果我的哭泣有声音，应该会响彻影厅。
9,裸奔的芒果,5星,2023/5/5 14:25,中国台湾,44,精彩纷呈，细节爆满，可以进入漫威前三殿堂的水准。再次证明漫威依旧是那个睥睨群雄的存在，一旦认真起来轻松全方位吊打DC，所谓的互相比烂只是错觉。本来对超英电影都已经把期待降低到了沙赞2的水平，没想到却再一次被刷新了认知，一直认为观众对超英电影的审美疲劳已经到了临界值的我被狠狠打了脸。而银护卫3成功的地方也正是在于完全打破了超英电影个人英雄主义的限制，而且和复联4那种看似群像本质还是在强调个人奉献的风格有着本质的不同。能感受到导演和编剧倾注在电影里对银护满满的感情和不舍，虽然以火箭的故事为主轴，但刻画的是一整个团队的感召力，真切的让观众体会到这才是贯彻银河护卫队作为一个team和其他超英最大的不同之处，最后致敬诺亚方舟和创世纪也是亮点。全片都洋溢着真情流露的纯真与美好，作为完结篇已无遗憾。
9,仲秋月含颦,5星,2023/5/7 13:29,重庆,44,有猫的人看不得火箭垂死，看到他戴着呼吸机的模样，在电影院哭得我不行了。跟火箭不同的是，我是一个记仇的人，离开我伤害我的，这辈子都无法原谅。笑点依旧精彩，特别是星爵想单独跟卡魔拉通话，按下蓝色按钮后大家都听到了的一段。因为看过去年的银护圣诞特辑，所以过去的卡魔拉回来时，让我吃惊不少。漫威的英雄，我最最喜欢的就是银河护卫队，以及护卫队里的星爵，可能人缺啥就喜欢看啥。我是一个很少被爱以及没有家庭归属感的人，所以钟情《摩登家庭》、《我爱我家、《银护》等。其他超级英雄都是单打独斗，最多和别的超级英雄合作一下，只有银护在打打闹闹中相亲相爱。有星爵，就绝对没有好歌可以听，片尾响起星爵专属登场歌时，真的是大完满了。今天凌晨才看完《漫长的季节》，银护里星爵跟卡魔拉，跟这片结局一样，往前走，别回头。火箭浣熊万岁
9,骚行天下,5星,2023/5/16 20:41,北京,2,看了复联4过来的，表示人都全活了，怎么拍？
9,猫小珥,3星,2023/7/14 22:56,江苏,14,又是一个无能狂怒的反派其实看着挺失望的要不是漫威这阶段其他作品的承托这部都很难及格唯一塑造比较成功的大概只有火箭了
9,DeckardYang,4星,2023/5/7 13:29,四川,20,【4】毫无疑问，这个相对独立的太空歌剧三部曲已经成为MCU的最佳系列，包括CG制作也是四阶段起最具完成度之作。Gunn不可能不深爱他笔下这些迥异的角色，此前疏于照料的人物在本片也终于得到更完成的成长，并迎来这个完满收束。劲歌金曲和Cult趣味依然延续，而在不断的喧闹中动些真情则是这个小队真正的标志。（不过确实，还是在隔壁的创作才更能体现Gunn的肆无忌惮）
9,脱落的树皮,3星,2023/6/7 19:19,山西,16,银河护卫队之辛德勒名单……音乐挺抓耳，但歌词真的和场景情节没有半毛钱关系啊……特效比蚁人3的花花绿绿好，不如速10燃……另外，我真的受够了一大群人叽叽喳喳不知所谓的插科打诨斗嘴打闹开玩笑……
9,xxmguts,2星,2023/5/5 11:32,安徽,50,真的不要再接受尬演了，看看龙与地下城吧
9,lokyiuuu,4星,2023/7/23 20:26,广东,22,任何涉及到小动物之间的感情都鲨我千百遍，谁能想到小浣熊mini版是这么可爱呢。
9,姜君,3星,2023/5/7 21:37,江苏,31,放一个总想改造人类的大反派，设计一些奇形怪状的变异生物，埋几个前后呼应、坏人变好人的伏笔，塞一堆质量参差不齐的搞笑段子，挤几滴工业糖精勾兑出来的廉价眼泪，结尾所有人像宝莱坞一样不如跳舞，最后再狗尾续貂两个不明所以的预告彩蛋……我觉得等到GPT-6的时候，应该可以交给它来写了。
9,停留在社交表面,5星,2023/5/8 19:39,广东,51,妇联4之后都没哭那么惨
9,雨苔思音,4星,2023/5/7 0:14,湖北,18,不是最好的漫威，但也是这么多年来唯一能看的漫威了，虽然影片还是有些歇斯底里的情绪表达，然而能完整地把握这么多角色的弧光发展并予以高光已经难能可贵，也许不是最好的结局，但每个人都寻到了自己的归宿。
9,他好像一条狗,5星,2023/5/17 21:04,四川,46,宇宙没了小狗还能转？硬撑罢了！宇宙没了小狗还能转？硬撑罢了！宇宙没了小狗还能转？硬撑罢了！我好喜欢科斯莫啊啊啊啊啊发一些小狗疯
9,青藤走狗,3星,2023/5/7 22:13,北京,28,反派放了三头巨兽出来，结果你告诉我它吃电池不吃人？敢问这种智商为零的反派，你们是怎么做到打得这么费劲儿的
10,胤,5星,2023/5/20 18:31,河北,40,宛如一支乐队的解散
10,lucas流窜地球,3星,2023/5/12 16:55,上海,15,Rocket的故事这条线处理得蛮动情的，救活以后的内容就有些冗长煎熬了，好像预算花不完，使劲请群演，搞特效，烧来烧去，炸来炸去，好不容易烧完了，好不容易电影终于结束了。。。。。���
10,潮汐,5星,2023/5/12 22:55,北京,37,原来不需要死人也能把离别拍的感人
10,少年赵里昂,5星,2023/5/5 17:33,陕西,49,我宣布和漫威暂时复婚�这部为该系列画上一个很棒的句号，�火箭浣熊让人好心疼�，我觉得银护一直很好看的重点在于，它真的成功塑造了“一家人”既视感。他们虽然永远都在拌嘴，却又在每一个关键时候毫不犹豫的支持着彼此。角色之间感情是非常让人信服的，一群“怪胎”聚在一起，他们每个人都不完美，甚至是别人眼中的“垃圾”，但茫茫宇宙中，他们遇到彼此，跨越物种的共情着彼此的伤痛。而凝聚这个团队的精神内核，永远都是善良，是仁慈，是爱。他们不是家人，却早已经胜似家人。
10,Immortal,5星,2023/5/6 23:50,河南,45,岂止是复联四后漫威最佳，即使放在所有MCU里也是第一档的水平。和复联四一样，或许不是最完美的结局，但是最好的结局。我爱这群逗比
10,毛利小次郎,5星,2023/5/14 18:19,湖北,42,ComeAndGetYourLove在结尾再次响起时，我激动的快要叫出声来……
10,妙龄少年小卷子,5星,2023/5/26 13:33,内蒙古,41,观影三四天后，突然明白格鲁特最后一句台词，不是他会说别的字词，而是我们听懂了。感谢滚导。
10,芝士汉堡.,5星,2023/5/5 19:58,河南,28,【4.5】最爱的银护系列再翻卷一出情绪的狂潮，最爱的火箭浣熊再涌现一片绝迹的星辰，当情节与逻辑的刻画溃不成军，感性的蹂躏便凌驾于理性的评判之上，在滤镜的加持下一切都化为灿烂的缕缕柔光，在欢笑与泪水的洗礼中拾得了犹如昨日的感动，如野师傅所说的全员高光般各自成章，最终也都收束于火箭殒命与重生的爆轰，那不愿提及的疼痛撕掉一点儿一点儿结痂的伤口，那停驻回忆的老友却是梦魇牢笼唯一的钥匙，从那些触目惊心的过去看灰烬缔造的绝美天空，从那些岁月烙下的印记谱明日讴歌的传奇，毁灭是希望的重生，解散是自我的追寻，哪里有什么完美的世界，虚无到底不过末路亡魂，不完美才是真正的完美，你也是你故事的主角，再重聚我们炙热依旧……
10,纠结咪,3星,2023/5/11 11:56,浙江,18,rocket是真的不知道自己是racoon……这我真没想到。没有强行扭转卡魔拉成为卡魔拉还挺惊喜的，电影笑点简单轻松
10,Hoiiiiii,3星,2023/5/6 23:51,上海,20,家人们，把“爱与和平”打在公屏上，大团圆到不能更团圆的大团圆，在这里给大家拜个早年！
10,景朗-,5星,2023/5/11 10:54,辽宁,30,两处泪点，火箭出逃伙伴们死亡，火箭发现小浣熊们，确定自己是只浣熊，知道自己的来处。并选择拯救动物们。卡魔拉好飒，我喜欢！太酷了！而她也终于找到了属于自己的家人们。星云越来越讨喜了！全程配乐都好听，满分！打戏依旧震撼，等电脑能看了，再看！星爵好像瘦了，还是换发型了，比之前帅很多！而且结局卡魔拉没有选择和星爵在一起，这简直完美！
10,一只麦麦,4星,2023/5/5 22:34,北京,18,混乱+有趣，滚导的个人风格太强了，把过去几年憋的东西全释放出来了。这一部的故事基本游离于MCU之外，在银护的主线里也相对独立，讲的是一出“小浣熊复仇记”。场景、飞船、角色造型等视觉设计都很出挑，尤其某个机构的建筑内外全部由看起来像肉体、内脏、黏液之类的材质组成，也出现了断头、骷髅、巨怪、血肉模糊等非常cult的元素。片中充满了插科打诨、搞笑互怼的台词，毁灭者和螳螂妹CP感很足。走廊一镜到底的团队打斗戏很过瘾，不过打斗已经不是这个系列的重点，打斗也是为了风格，为了耍酷。音乐到了这一部简直肆无忌惮，命可以不要，随身听不能停。当《银护》系列的第一首歌、经典的旋律响起时，还是会有点感慨的，有点舍不得宇宙天团的故事就到这里结束了，希望以后还能有机会看到他们，不管是在什么时空、谁的故事里。
10,难以为继Quinn,2星,2023/5/7 16:48,四川,35,要么是我疯了，要么是漫威粉疯了
10,恶魔的步调,5星,2023/5/5 2:31,浙江,29,感官游戏、机械战警……生物有机体机械……这叫什么风格或流派来自，一时想不起来。又一个betterworld梗，mal样的那位绝对是选角印象加强。老男孩式长廊打斗长镜也完成的不错。
10,甘草披萨,3星,2023/5/5 21:45,上海,20,3.5完全是上世纪七、八十年代各路科幻恐怖cult片的超级大狂欢啊！尤其是向约翰卡朋特啊雷米啊他们的致意，也是向那个还没出现CG特效只能徒手制作出各种怪物们的美工师傅们的大型致敬片；各路埋梗也是超多了，比如特意提及“池塘”来谈人生，到底是导演的意思还是咱们池塘姑娘自己的提议呀，魔法特：谢谢惦记！如果是从第一集走到现在，这九年等于是看着一棵温暖的小树苗长成了健壮大树了；倾尽全力拯救一只小浣熊，顺便把爱与和平播撒到银河系用心良苦，几位成员们的关系似乎是因为同时都混合着爱情友情亲情而变得更加情比金坚，真美好呀；至于这时长这节奏，对非粉丝和非cult片口味的观众来说，兴许只好原谅滚导了，毕竟别人是剧情里插播金曲，他是金曲里插播剧情，白花花的版权费付都付了，肯定舍不得浪费的嘛
10,MerrieRobin,3星,2023/5/13 18:06,广东,15,亚当像一种“在剧本初期中强势加入但写着写着就不知道该怎么继续只能让他尴尬当银幕边角料然而电影很快就结束了这个角色的作用还没发挥啊那这样好了让奎尔做件没有必要的傻事让亚当来救他就好啦”的角色。还有为什么一个明明是术士的角色它的技能是横冲直撞，别和我说漫画里就是这样的，那只能说设计这角色的人从最开始就是傻比。
10,无聊是空,4星,2023/5/20 13:13,广东,1,这是告诉大家不要靠肾上腺素来解决问题吗？
10,天天想你,4星,2023/5/13 2:45,上海,32,许久未见的漫威味道，太让人怀念了，有那么一瞬间，我感觉都回来了。银护3教会我们，不是所有别离都是伤痛的，你可以像个傻子一样跳舞。
10,炽鸟,5星,2023/5/13 21:47,江苏,27,有时候为了一个懂你音乐品味的人确实值得拼上一切
10,Norloth,4星,2023/5/5 14:45,上海,22,比黑豹和蚁人好很多，算是比较圆满的结局了。喜欢一些群殴反派的情节…不过现在漫威反派都很差劲，十年前或许还有一些有魅力的疯子，现在只剩疯子了。
11,蔕,4星,2023/7/8 13:24,湖北,11,火箭的故事让人感伤。卡魔拉已经不在了，就算是不同时空的另一个她，那也不是她了。每个人都有自己的路，不同时间，不同际遇，不同命运，这就是生命。
11,101避难所,2星,2023/5/6 10:15,河南,36,真的只能给个情怀分了。反乌托邦命题作文，真的下头。整个人物都乱了，一个个都跟狂躁症一样，还有反派更是一个无厘头。。咱能不能别尬黑，他好歹一个老大，非得单独一人过去挑衅一个试验品浣熊干嘛？整个剧情推进都极其僵硬，像GPT写的剧本，150分钟如芒在背。最后俩彩蛋稍微好点。能感觉到古恩被之前推特的事整的怨气很重，这部完全就是一个里根孝子的意淫回忆录。
11,顗礼,3星,2023/5/6 10:11,加拿大,20,连扑那么多部后，大家的标准似乎已经到了“善终”就好的程度，也练就了用对人物本身的感情掩盖所有降智卖蠢的能力，所以看到这种兼具二者（既善终又有好人物）且能有额外附赠的作品当然会造成让人匪夷所思的口碑，其实也没什么难理解的。BTW最感动的时刻是一闪而过的勇度，他才是系列最佳的角色啊
11,青草、,4星,2023/8/13 11:33,上海,1,《银河护卫队3》又名《雷神4》
11,KayRosette,5星,2023/5/26 21:54,北京,29,火箭的故事也太好哭了，动物好可爱啊为什么要虐待它们！亚当术士一出场我就感觉不像反派，后面果然啊，没想到还是个搞笑男。演员小时候演纳尼亚传奇我就觉得他很有搞笑天分，现在进入银河护卫队一点毛病没有。一秒钟心疼给到大祭司。卡魔拉是回不来了，全片这个点刀了一遍又一遍，经历了这么多的星爵是挺坚强的了，演得也特别好，我在银幕前面看到他的表情都很想哭，离他而去的人太多了。但整个，还是很好看的！就是有点掉san，傲格集团总部和那些被制造出来的生物还有最后至高进化的脸都看得我脑袋疼，每次看见星爵这张正常人类的脸都觉得是在净化心灵，以至于看到最后竟然觉得星爵帅了！果然是全靠同行衬托good，期待下一部！
11,梦旅人阿白,5星,2023/5/6 16:19,福建,32,好久没看这么好看的漫威电影了
11,EAZIN,5星,2023/5/8 13:07,上海,26,第一反应是漫威影史最佳
11,AAA二流观众,4星,2023/5/7 23:07,北京,7,回过神来才发现，自己竟然上了片尾的SPECIALTHANKS，而且还是排在第一位�这算是大银幕首秀了吧？
11,桃有黑眼圈�,5星,2023/5/5 19:59,山西,15,非常符合我喜好的真善美故事➕风格统一的三部曲情怀牌�在影院抹着眼泪激情打五星！让“低等生物”搭上诺亚方舟的小火箭，被朋友们改变的星云，最能共情他人却从未寻找自己的螳螂女，被赋予第二次机会加入银护的adam，虽然未能和“卡魔拉”再续前缘而是回到地球上找姥爷的星爵，还有一闪而过的勇度，每个角色都讨人喜欢，都是被爱着的存在。
11,mdr skywalker,5星,2023/5/6 0:46,江苏,22,滚导用独立于主宇宙规划的一部《银河护卫队3》为系列画上了完美的句号，风格继续继承前两部的沙雕风+劲歌金曲，围绕火箭浣熊展开主线故事，推进过程穿插悲惨前史，看的非常纠心，也贡献了至高进化这个相对有血有肉的反派。成员间的情感联结更加紧密，更多的是胜似伐木累的动人情谊，每个角色都精心设计了高光时刻，其中星云的成长线最让我惊艳，回归的卡魔拉演出了与前作完全不一样的性格。滚导也在收官作带来了最大规模的动作戏和视觉盛宴，想象力与恶趣味齐飞，最后走廊一镜到底的大决战拍的血肉横飞，调度一流，不少造型设计cult感十足，把B级趣味成功融合到A级大制作中。结尾处理非常克制，离别终有时，用劲歌热舞冲淡伤感。《银河护卫队》是漫威电影宇宙浓墨重彩的一笔，感谢滚导还记得那份初心和真诚，剧照彩蛋真泪目了。（9.5/10）
11,望好鱼,2星,2023/5/7 22:12,四川,29,剧作太烂了，毫无诚意的拼凑感。演员身材管理集体垮掉，曾经独树一帜的幽默话唠变成全员咆哮帝，真想给他们人手一盒金嗓子。音效吵得哦捂住耳朵。只有美术和特效可以给高分。
11,陈宗浩,4星,2023/5/6 17:42,北京,20,作为漫威第五阶段一部电影都没看的人来说看到这个评分一出来我就果断买票直奔电影院了。滚导虽然不能说有什么文艺追求，但他拍的群戏商业电影就是当前世界上最好的之一，能给一个在漫画里连二线都没有的团队一个三部曲并完美收尾已经是相当了不得的事情了其实冷静之后感觉电影拍得还是比较套路的，漫威反派偏弱的毛病直到现在也没改正，甚至我觉得如果不是剧情需要这部电影根本就不需要个正经的反派，光是给每个成员一个结局就已经要耗费大量的时长了，好在完成度还是相当高的，最后基本上是圆满落幕了，每一个人都有自己的使命和任务，这就很好了我不会尬吹他是什么最佳，但确实是一部很不错的作品，作为对上一个十年还有情怀的影迷来说值得多刷，在最后火箭浣熊一按下播放键我就知道第一部的经典歌曲又要出来了，搞情怀还得是你啊，滚导
11,河马,1星,2023/5/26 11:49,上海,26,胡编乱造，又长又臭的缝合怪，想象力都用在让人生理不适的各种造型上了…这8.4不知道咋打出来的，yue…
11,原则xi,2星,2023/5/5 9:40,上海,51,无节制的、生硬的闪回、自我感动和蠢蛋搞怪秀，用到系列终章已经足够乏味了，同样登峰造极的还有种族清洗事业。
11,幼银,4星,2023/5/7 19:36,上海,24,怎么会有人不爱毛绒绒的小浣熊呢幼年火箭真是可爱到我尖叫爆炸
11,老怪CXJ,5星,2023/5/3 5:42,北京,35,关于“火箭”回忆录、拯救和重聚。相对前两部詹姆斯·古恩把自己的恶趣味与温情传递得最好的一次，各方面都很克制且平衡，从有机体肉状空间站到“反地球”上的动物与人性结合的改造体都充斥着古恩早期作品的影子，把《和平使者》的Clemson拉来当作反派，真是毫不意外。在玩了自己《撕裂人》的同时还玩了不少经典科幻，如：《机械战警》《人工智能》《黑衣人》《第五元素》《感官游戏》《恐龙战队》等等。灭除掉偏激者和不动脑子的蠢货世界会变美好吗？并不会！不过，好在还有好音乐与好朋友的陪伴才可以让这个操蛋的世界相对而言更美好！感动的收尾，还挺舍不得。�#4月28日北京首映礼#
11,Morning,5星,2023/5/10 23:49,北京,12,四星。银护系列集大成之作，当年银护横空出世，一改钢铁侠和美国队长领导的经典大气风格，以一己之力掀起了漫威中话痨式幽默风暴，这诚然是一种商业片的写法，但十年后它锤炼出新的意义，每个人物形象都是片面，只说自己要说的话，但他们组合在一起就是连接了爱，交流被写出新的促使丰满的含义，美术风格上也是有特色且精致，每个场景的设计到细节的执行都很细腻，比如一开始滑过镜前披在群演身上的那块毛毯最后又披在了亚当术士的身上。它就是这样，可以熔欢笑与悲伤于一炉，正派也可以大骂愚蠢反派就是逞口舌之强，当然最后的解救缔造了奇观，银河护卫队创造了新的诺亚方舟，那些生命获得了毁灭里的新生，我喜欢这部电影，因为他们从来没有放弃过拯救彼此和自己，仰望星空，我见过银河，是未来或者过去的某个自己的版本，没有被无情的生命进化所替代。
11,苏妄言,5星,2023/5/6 22:13,云南,44,还得是滚导，完美的结局。如果星爵跟卡魔拉最后在一起我肯定当场骂街了。
11,ROXO,3星,2023/5/17 4:29,福建,24,漫威的尿性�等了3分钟片尾曲彩蛋就给我来一句“传奇的星爵终将会回归”……
